_id__$oid	id	code	name	short_name	campus	lat	lng	address__street	address__city	address__province	address__country	address__postal
56af1083a6b3f10a7e86ccd4	151	LG	Fasken Martineau Building	Martineau	UTSG	43.66406	-79.40203	655  Spadina Avenue	Toronto	ON	Canada	M5S 2H9
56af1083a6b3f10a7e86ccd5	230	VL	Residence Centre	Stnt Res Ctr	UTSC	43.78332	-79.18517	1275  Military Trail	Scarborough	ON	Canada	M1C 1A4
56af1083a6b3f10a7e86ccd6	201	AC	Academic Resource Centre	ARC	UTSC	43.78418	-79.18643	1265 Military Trail	Scarborough	ON	Canada	M1C 1A4
56af1083a6b3f10a7e86ccd7	602	LA	Gerald Larkin Building	Larkin Bldg	UTSG	43.66567	-79.39691	15  Devonshire Place	Toronto	ON	Canada	M5S 1H8
56af1083a6b3f10a7e86ccd8	134	RT	Rotman School of Management	RotmanSchool	UTSG	43.66519	-79.39829	105  St. George Street	Toronto	ON	Canada	M5S 3E6
56af1083a6b3f10a7e86ccd9	23	UP	University College Union	UC Union	UTSG	43.66338	-79.39747	79  St. George Street	Toronto	ON	Canada	M5S 2E5
56af1083a6b3f10a7e86ccda	260	XX260	Harbutt House (Vacant)	Harbutt Hse	UTSC	43.77929	-79.18113	130  Old Kingston Road	Scarborough	ON	Canada	M1E 3J5
56af1083a6b3f10a7e86ccdb	401	LC	Loretto College	Loretto	UTSG	43.66736	-79.3901	70  St. Mary Street	Toronto	ON	Canada	M5S 1J3
56af1083a6b3f10a7e86ccdc	302	XX302	Forensic Anthropology Field School	Forensic Schl	UTM	43.55291	-79.66553	3245 Principal's Road	Mississauga	ON	Canada	
56af1083a6b3f10a7e86ccdd	20	RS	Rosebrugh Building	Rosebrugh	UTSG	43.66005	-79.39323	164  College Street	Toronto	ON	Canada	M5S 3G9
56af1083a6b3f10a7e86ccde	103	CS	School of Continuing Studies	SCS	UTSG	43.6667	-79.39992	158  St. George Street	Toronto	ON	Canada	M5S 2V8
56af1083a6b3f10a7e86ccdf	50	FH	Falconer Hall	Falconer Hal	UTSG	43.66669	-79.39396	84  Queen's Park	Toronto	ON	Canada	M5S 2C5
56af1083a6b3f10a7e86cce0	56	GU	Graduate Students' Union	G.S.U.	UTSG	43.66083	-79.40025	16  Bancroft Avenue	Toronto	ON	Canada	M5S 1C1
56af1083a6b3f10a7e86cce1	008A	PT	D.L. Pratt Building	D.L. Pratt	UTSG	43.65963	-79.39469	6  King's College Road	Toronto	ON	Canada	M5S 3H5
56af1083a6b3f10a7e86cce2	104	GE	Max Gluskin House	Gluskin House	UTSG	43.66615	-79.3997	150  St. George Street	Toronto	ON	Canada	M5S 3G7
56af1083a6b3f10a7e86cce3	098B	JP	Wellesley Street West -90	Wellesley-90	UTSG	43.66404	-79.38973	90 Wellesley Street West	Toronto	ON	Canada	M5S 1C5
56af1083a6b3f10a7e86cce4	516	LH	Charles Street West-65	CharlesStW-65	UTSG	43.66784	-79.39	65  Charles Street West	Toronto	ON	Canada	M5S 1K5
56af1083a6b3f10a7e86cce5	323P	XX323P	Leacock Lane Res - Block P (Phase IV)	Leacock-P	UTM	43.54627	-79.66256	1900 Outer Circle	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cce6	9	SF	Sandford Fleming Building	Sandford Flm	UTSG	43.66012	-79.3951	10  King's College Road	Toronto	ON	Canada	M5S 3G4
56af1083a6b3f10a7e86cce7	145	KP	Koffler House	Koffler Hse	UTSG	43.66061	-79.40059	569  Spadina Crescent	Toronto	ON	Canada	M5S 2J7
56af1083a6b3f10a7e86cce8	42	GO	Goldring Centre for High Performance Sport	GC High Perf	UTSG	43.66723	-79.3984	100 Devonshire Place	Toronto	ON	Canada	
56af1083a6b3f10a7e86cce9	120	SO	Louis B. Stewart Observatory (UTSU)	Stewart Obsv	UTSG	43.66315	-79.39468	12  Hart House Circle	Toronto	ON	Canada	M5S 3J9
56af1083a6b3f10a7e86ccea	509	BT	Isabel Bader Theatre	BaderTheatre	UTSG	43.66723	-79.39245	93  Charles St. West	Toronto	ON	Canada	M5S 1K9
56af1083a6b3f10a7e86cceb	142	SA	Spadina Ave-713	Spadina-713	UTSG	43.66601	-79.40284	713  Spadina Avenue	Toronto	ON	Canada	M5S 2J4
56af1083a6b3f10a7e86ccec	324D	XX324D	Roy Ivor Hall Res - House D (Phase VI)		UTM	43.54882	-79.66698	3370 Residence Road	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86cced	200B	BV	Bladen Wing (B-Wing)	B-Wing	UTSC	43.78432	-79.18685	1265 Military Trail	Scarborough	ON	Canada	M1C 1A4
56af1083a6b3f10a7e86ccee	200S	SW	Science Wing (S-Wing)	S-Wing	UTSC	43.78358	-79.18781	1265 Military Trail	Scarborough	ON	Canada	M1C 1A4
56af1083a6b3f10a7e86ccef	323F	XX323F	Schreiberwood Res - Block F (Phase I)	Schreiberwood-F	UTM	43.54943	-79.66744	3401 Residence Road	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86ccf0	39	SG	St. George Street-49	St.George-49	UTSG	43.66066	-79.3966	49  St. George Street	Toronto	ON	Canada	M5S 2E5
56af1083a6b3f10a7e86ccf1	6	RL	John P. Robarts Library Building	Robarts	UTSG	43.66445	-79.39945	130  St. George Street	Toronto	ON	Canada	M5S 1A5
56af1083a6b3f10a7e86ccf2	210D	XX210D	Block D (Student Townhouse Res-Phase I)	Block D-Pse I	UTSC	43.78306	-79.18421	1295 Military Trail	Scarborough	ON	Canada	M1C 3A8
56af1083a6b3f10a7e86ccf3	210M	XX210M	Block M(Student Townhouse Res-Phase III)	Block M-Pse III	UTSC	43.78471	-79.18897	1235 Military Trail	Scarborough	ON	Canada	M1C 1A3
56af1083a6b3f10a7e86ccf4	340	DH	Deerfield Hall		UTM	43.5505	-79.66639	1535 Outer Circle	Mississauga	ON	Canada	
56af1083a6b3f10a7e86ccf5	192	EP	Stewart Building	StewartBldg	UTSG	43.65923	-79.39207	149 College Street	Toronto	ON	Canada	M5T 1P5
56af1083a6b3f10a7e86ccf6	331	HM	Hazel McCallion Academic Learning Centre	McCallion ALC	UTM	43.55095	-79.66282	1675 Outer Circle	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86ccf7	10	SI	Simcoe Hall	Simcoe Hall	UTSG	43.66076	-79.39594	27  King's College Circle	Toronto	ON	Canada	M5S 1A1
56af1083a6b3f10a7e86ccf8	068A	WS	Warren Stevens Building	Warren Stevn	UTSG	43.66279	-79.40102	55  Harbord Street	Toronto	ON	Canada	M5S 2W6
56af1083a6b3f10a7e86ccf9	575A	VI	Nona Macdonald Visitors Centre	Visitors Ctr	UTSG	43.66119	-79.39627	25 King's College Circle	Toronto	ON	Canada	M5S 1A1
56af1083a6b3f10a7e86ccfa	503	BC	Birge-Carnegie Library	Birge-Carneg	UTSG	43.66711	-79.39296	75a   Queen's Park	Toronto	ON	Canada	M5S 1K7
56af1083a6b3f10a7e86ccfb	78	MP	McLennan Physical Laboratories	McLennan Lab	UTSG	43.66071	-79.39827	255  Huron Street	Toronto	ON	Canada	M5S 1A7
56af1083a6b3f10a7e86ccfc	418	PI	Pontifical Institute of Mediaeval Studies	P.I.M.S.	UTSG	43.66569	-79.39104	59  Queen's Park Crescent East	Toronto	ON	Canada	M5S 2C4
56af1083a6b3f10a7e86ccfd	1	UC	University College	UC	UTSG	43.6632	-79.39582	15  King's College Circle	Toronto	ON	Canada	M5S 3H7
56af1083a6b3f10a7e86ccfe	325	XX325	Erindale Hall Residence (Phase VII)	Erindale Hall	UTM	43.54959	-79.66564	1525 Outer Circle	Mississauga	ON	Canada	L5L 6A2
56af1083a6b3f10a7e86ccff	83	RM	McCaul Street-254/256	McCaul-254/6	UTSG	43.65857	-79.3936	254-256   McCaul Street	Toronto	ON	Canada	M5T 1W5
56af1083a6b3f10a7e86cd00	323E	XX323E	Schreiberwood Res - Block E (Phase I)	Schreiberwood-E	UTM	43.54972	-79.66779	3401 Residence  Road	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd01	105	FI	Fields Inst for Research in Math Science	Fields Inst	UTSG	43.65879	-79.39745	222  College Street	Toronto	ON	Canada	M5T 3J1
56af1083a6b3f10a7e86cd02	323K	XX323K	McLuhan Court Res - Block K (Phase II)	McLuhan-K	UTM	43.54806	-79.66628	3330 Residence Road	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd03	323U	XX323U	MaGrath Valley Res - Block U (Phase V)	MaGrath-U	UTM	43.54555	-79.66106	1499 The Collegeway	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd04	335	AX	Academic Annex	Acad Annex	UTM	43.54816	-79.66452	1795 Inner Circle	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86cd05	324B	XX324B	Roy Ivor Hall Res - House B (Phase VI)	Ivor Hall-B	UTM	43.5484	-79.66744	3370 Residence Road	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86cd06	478	RG	Regis College	Regis	UTSG	43.66396	-79.39028	100 Wellesley Street West	Toronto	ON	Canada	M5S 1C5
56af1083a6b3f10a7e86cd07	19	DR	J. Robert S. Prichard Alumni House	Prichard Hse	UTSG	43.66209	-79.39666	21  King's College Circle	Toronto	ON	Canada	M5S 3J3
56af1083a6b3f10a7e86cd08	80	BA	Bahen Centre for Information Technology	Bahen Centre	UTSG	43.65967	-79.39737	40  St. George Street	Toronto	ON	Canada	M5S 2E4
56af1083a6b3f10a7e86cd09	515	NF	Northrop Frye Hall	Northrop	UTSG	43.66641	-79.39218	73  Queen's Park Crescent East	Toronto	ON	Canada	M5S 1K7
56af1083a6b3f10a7e86cd0a	146	SU	Sussex Avenue-40	Sussex-40	UTSG	43.66501	-79.40181	40  Sussex Avenue	Toronto	ON	Canada	M5S 1J7
56af1083a6b3f10a7e86cd0b	33	SS	Sidney Smith Hall	Sidney Smith	UTSG	43.66238	-79.39866	100  St. George Street	Toronto	ON	Canada	M5S 3G3
56af1083a6b3f10a7e86cd0c	172	MM	Macdonald-Mowat House	Mowat House	UTSG	43.66177	-79.39705	63  St. George Street	Toronto	ON	Canada	M5S 2Z9
56af1083a6b3f10a7e86cd0d	206	IC	Instructional Centre (UTSC)	Instr Ctr	UTSC	43.7868	-79.18964	1095 Military Trail	Scarborough	ON	Canada	
56af1083a6b3f10a7e86cd0e	11	TZ	C. David Naylor Building (Formerly Tanz Building)	Naylor	UTSG	43.66043	-79.39176	6  Queen's Park Crescent West	Toronto	ON	Canada	M5S 3H2
56af1083a6b3f10a7e86cd0f	333	HB	Terrence Donnelly Health Sciences Complex	HealthSci (UTM)	UTM	43.54964	-79.66194	1777 Outer Circle	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86cd10	323S	XX323S	Leacock Lane Res - Block S (Phase IV)	Leacock-S	UTM	43.54616	-79.66311	1900 Outer Circle	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd11	210K	XX210K	Block K(Student Townhouse Res-Phase III)	Block K-Pse III	UTSC	43.7851	-79.18949	1235 Military Trail	Scarborough	ON	Canada	M1C 1A3
56af1083a6b3f10a7e86cd12	210C	XX210C	Block C (Student Townhouse Res-Phase I)	Block C-Pse I	UTSC	43.78331	-79.18363	1295 Military Trail	Scarborough	ON	Canada	M1C 3A8
56af1083a6b3f10a7e86cd13	514	PR	E.J. Pratt Library	Pratt Lib	UTSG	43.66634	-79.39135	71  Queen's Park Crescent East	Toronto	ON	Canada	M5S 1K7
56af1083a6b3f10a7e86cd14	608	HI	St. Hilda's College	St. Hilda's	UTSG	43.66573	-79.39782	44  Devonshire Place	Toronto	ON	Canada	M5S 2E2
56af1083a6b3f10a7e86cd15	125	IA	Spadina Avenue-703	Spadina-703	UTSG	43.66572	-79.40265	703  Spadina Avenue	Toronto	ON	Canada	M5S 2J4
56af1083a6b3f10a7e86cd16	156	OA	Old Admin Bldg (Board of Ed)	Old Admin	UTSG	43.65881	-79.3925	263  McCaul Street	Toronto	ON	Canada	M5T 1W7
56af1083a6b3f10a7e86cd17	411	BR	Brennan Hall	Brennan Hall	UTSG	43.66636	-79.38986	81  St. Mary Street	Toronto	ON	Canada	M5S 1J4
56af1083a6b3f10a7e86cd18	323T	XX323T	MaGrath Valley Res - Block T (Phase V)	MaGrath-T	UTM	43.54605	-79.66121	1499 The Collegeway	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd19	210I	XX210I	Block I (Student Townhouse Res-Phase II)	Block I-Pse II	UTSC	43.78248	-79.18366	1295 Military Trail	Scarborough	ON	Canada	M1C 3A8
56af1083a6b3f10a7e86cd1a	66	XG	Spadina Avenue-665	Spadina-665	UTSG	43.66446	-79.40223	665 Spadina Avenue		ON	Canada	
56af1083a6b3f10a7e86cd1b	40	LW	Faculty of Law	Law	UTSG	43.66603	-79.39404	78  Queen's Park	Toronto	ON	Canada	M5S 2C5
56af1083a6b3f10a7e86cd1c	155	EX	Exam Centre	Exam Centre	UTSG	43.65848	-79.39286	255  McCaul Street	Toronto	ON	Canada	M5T 1W7
